101-brewery-quilcene,101 Brewery,brewpub,294793 US Highway 101,,,Quilcene,Washington,,98376-9000,http://www.101brewery.com,3607656485,2018-07-24,2018-08-11,United States,,,
122-west-brewing-co-bellingham,122 West Brewing Co,closed,2416 Meridian St,,,Bellingham,Washington,,98225-2405,https://www.122westbrew.com/,3603063285,2020-10-11,2020-10-11,United States,-122.485982,48.7621709,
192-brewing-kenmore,192 Brewing,micro,7324 NE 175th St,,,Kenmore,Washington,,98028-2500,http://www.192brewing.com,4254242337,2018-07-24,2018-08-24,United States,-122.2415652,47.75670075,
20-corners-brewing-llc-woodinville,20 Corners Brewing LLC,brewpub,14148 NE 190th St Ste A,,,Woodinville,Washington,,98072-8437,http://www.20cornersbrewing.com,4253755223,2018-07-24,2018-08-11,United States,,,
210-brewing-co-arlington,210 Brewing Co,brewpub,3438 Stoluckquamish Ln,,,Arlington,Washington,,98223-9056,http://www.angelofthewind.com,3604749740,2018-07-24,2020-10-11,United States,-122.18421,48.215096,
238-brewing-company-mead,238 Brewing Company,micro,10321 E Day Mt Spokane Rd,,,Mead,Washington,,99021,http://www.238brewing.com,5092382739,2018-07-24,2018-08-11,United States,,,
5-rights-brewing-co-marysville,5 Rights Brewing Co,micro,7028 46th St NE,,,Marysville,Washington,,98270-6989,http://www.5rightsbrewing.com,4253341026,2018-07-24,2018-08-24,United States,-122.136104,48.037429,
54-40-brewing-company-washougal,54-40 Brewing Company,brewpub,3801 S Truman Rd Ste 1,,,Washougal,Washington,,98671-2589,http://www.54-40brewing.com,3609077062,2018-07-24,2018-08-11,United States,,,
7-seas-brewing-co-tacoma,7 Seas Brewing Co,micro,2101 Jefferson Ave,,,Tacoma,Washington,,98402-1519,http://www.7seasbrewing.com,2535727771,2018-07-24,2018-08-24,United States,-122.4390379,47.242614,
adam-s-northwest-bistro-twin-rivers-brewing-monroe,Adam's Northwest Bistro / Twin Rivers Brewing,brewpub,104 N Lewis St,,,Monroe,Washington,,98272-1502,http://www.adamsnwbistro.com,3607944056,2018-07-24,2018-08-24,United States,-121.970887,47.85588471,
airways-brewing-co-bistro-beer-garden-kent,Airways Brewing Co. Bistro & Beer Garden,brewpub,320 W Harrison St,,,Kent,Washington,,98032,http://airwaysbrewing.com/bistro-beer-garden/,2532368632,2020-10-11,2020-10-11,United States,-122.235649,47.382498,
airways-brewing-co-kent,Airways Brewing Co,micro,8611 S 212th St,,,Kent,Washington,,98031-1910,http://www.airwaysbrewing.com,2532001707,2018-07-24,2018-08-24,United States,-122.2391026,47.4119802,
ale-spike-stanwood,Ale Spike,micro,"9300 271st St NW, Ste B-5",,,Stanwood,Washington,,98292,http://www.alespike.com,,2018-07-24,2018-08-11,United States,,,
alpine-brewing-co-oroville,Alpine Brewing Co,micro,821 14th Ave,,,Oroville,Washington,,98844,http://www.alpine-brewing.com,5094769662,2018-07-24,2018-08-24,United States,-119.4305306,48.9365877,
american-brewing-company-edmonds,American Brewing Company,brewpub,180 W Dayton St Ste 102,,,Edmonds,Washington,,98020-4127,http://www.americanbrewing.com,4257741717,2018-07-24,2018-08-11,United States,,,
anacortes-brewery-rockfish-grill-anacortes,Anacortes Brewery/Rockfish Grill,brewpub,320 Commercial Ave,,,Anacortes,Washington,,98221-1517,http://www.anacortesrockfish.com,3605881720,2018-07-24,2020-10-11,United States,-122.6126089,48.51933431,
ashtown-brewing-co-longview,Ashtown Brewing Co,micro,1175 Hudson St,,,Longview,Washington,,98632-3158,http://www.ashtownbrewing.com,3603535286,2018-07-24,2018-08-24,United States,-122.9327409,46.13661987,
aslan-brewing-company-bellingham,Aslan Brewing Company,micro,1330 N Forest St,,,Bellingham,Washington,,98225-4702,http://aslanbrewing.com,3603934106,2018-07-24,2018-08-24,United States,-122.4754509,48.74801531,
aslan-brewing-seattle-seattle,Aslan Brewing Seattle,micro,401 N 36th St Ste 102,,,Seattle,Washington,,98103-8630,https://aslanbrewing.com/seattle,3603934106,2020-10-11,2020-10-11,United States,-122.354134,47.652201,
at-large-brewing-everett,At Large Brewing,micro,2730 W Marine View Dr,,,Everett,Washington,,98201-3421,http://www.atlargebrewing.com,4253240039,2018-07-24,2018-08-24,United States,-122.2146867,47.9808918,
atomic-ale-brewpub-and-eatery-richland,Atomic Ale Brewpub and Eatery,brewpub,1015 Lee Blvd,,,Richland,Washington,,99352-4226,http://www.atomicalebrewpub.com,5099465465,2018-07-24,2018-08-24,United States,-119.2782003,46.27475515,
atwood-ales-blaine,Atwood Ales,micro,4012 Sweet Rd,,,Blaine,Washington,,98230-9108,http://www.atwoodales.com,3603996239,2018-07-24,2018-08-24,United States,-122.6990459,48.97900614,
backwoods-brewing-company-production-only-carson,Backwoods Brewing Company - Production Only,micro,1162 B Wind River Hwy,,,Carson,Washington,,98610,http://www.backwoodsbrewingcompany.com,5094273412,2018-07-24,2018-08-24,United States,-121.8203754,45.72872253,
backwoods-in-the-gorge-carson,Backwoods in the Gorge,micro,1162 Wind River Hwy,,,Carson,Washington,,98610,http://www.backwoodsbrewingcompany.com,5094273412,2018-07-24,2020-10-11,United States,-121.8203754,45.72872253,
bad-bulldogs-brewery-bremerton,Bad Bulldogs Brewery,closed,941 N Callow Ave,,,Bremerton,Washington,,98312,,3606278079,2018-07-24,2018-08-24,United States,-122.6533736,47.56963921,
bad-jimmy-s-brewing-co-seattle,Bad Jimmy's Brewing Co,micro,4358B Leary Way NW,,,Seattle,Washington,,98107-4554,http://www.badjimmysbrewingco.com,2067891548,2018-07-24,2018-08-11,United States,,,
badass-backyard-brewing-spokane-valley,Badass Backyard Brewing,micro,1415 N Argonne Rd,,,Spokane Valley,Washington,,99212-2685,http://badassbackyardbrewing.com,5092423225,2018-07-24,2018-08-24,United States,-117.282919,47.66990394,
badger-mountain-brewing-wenatchee,Badger Mountain Brewing,micro,1 Orondo Ave,,,Wenatchee,Washington,,98801-2206,http://www.badgermountainbrewing.com,5098882234,2018-07-24,2018-08-24,United States,-120.309353,47.423747,
bainbridge-island-brewing-seattle,Bainbridge Island Brewing,micro,9415 Coppertop Loop NE Ste 104,,,Seattle,Washington,,98110-3339,http://www.bainbridgebeer.com,2064514646,2018-07-24,2018-08-11,United States,,,
bale-breaker-brewing-company-yakima,Bale Breaker Brewing Company,regional,1801 Birchfield Rd,,,Yakima,Washington,,98901-9577,http://www.balebreaker.com,5094244000,2018-07-24,2018-08-24,United States,-120.435573,46.57685541,
barhop-brewing-port-angeles,Barhop Brewing,brewpub,124 W Railroad Ave,,,Port Angeles,Washington,,98362-2621,http://www.barhopbrewing.com,3604605155,2018-07-24,2018-08-24,United States,-123.4332787,48.12098065,
barrel-mountain-brewing-battle-ground,Barrel Mountain Brewing,micro,607 E Main St,,,Battle Ground,Washington,,98604-4887,http://www.barrelmountainbrewing.com,3603428111,2018-07-24,2018-08-24,United States,-122.5309307,45.7808639,
bastion-brewing-company-anacortes,Bastion Brewing Company,brewpub,12529 Christianson Rd,,,Anacortes,Washington,,98221-8682,http://www.bastionbrewingcompany.com,3603991614,2018-07-24,2018-08-24,United States,-122.5708729,48.46080506,
beardslee-public-house-bothell,Beardslee Public House,brewpub,19116 Beardslee Blvd Ste 201,,,Bothell,Washington,,98011-0202,,,2018-07-24,2018-08-24,United States,-122.1914046,47.7663209,
beerded-brothers-brewing-vancouver,Beerded Brothers Brewing,micro,106 W 6th St,,,Vancouver,Washington,,98660,http://www.beerdedbrothers.net,3606065806,2018-07-24,2018-08-24,United States,-122.6718911,45.62576802,
bellevue-brewing-co-bellevue,Bellevue Brewing Co,brewpub,1820 130th Ave NE # 2,,,Bellevue,Washington,,98005-2205,http://www.bellevuebrewing.com,4257850171,2018-07-24,2018-08-24,United States,-122.1669306,47.62658069,
belltown-brewery-seattle,Belltown Brewery,brewpub,200 Bell St,,,Seattle,Washington,,98121-1716,http://www.belltownbrewingseattle.com,2064857233,2018-07-24,2018-08-24,United States,-122.3456669,47.6142953,
bellwether-brewing-co-spokane,Bellwether Brewing Co,micro,2019 N Monroe St,,,Spokane,Washington,,99205-4542,http://www.bellwetherbrewing.net,5092808345,2018-07-24,2018-08-24,United States,-117.4265497,47.67645574,
bennidito-s-brewpub-spokane,Bennidito's Brewpub,brewpub,1909 E Sprague Ave,,,Spokane,Washington,,99202-3120,http://www.benniditosbrewpub.com,5092905018,2018-07-24,2018-08-24,United States,-117.2178526,47.6571208,
bent-bine-brew-co-llc-belfair,Bent Bine Brew Co. LLC,brewpub,23297 WA-3,,,Belfair,Washington,,98394,http://www.bentbine.com,8142739379,2018-07-24,2020-10-11,United States,-122.83223,47.445115,
berchman-s-brewing-company-yakima,Berchman's Brewing Company,micro,25 N Front St Ste 2,,,Yakima,Washington,,98901-2648,http://berchmansbrewingcompany.com/,5099521058,2018-07-24,2018-08-11,United States,,,
big-barn-brewing-co-bodacious-berries-fruits-and-brews-mead,Big Barn Brewing Co / Bodacious Berries Fruits and Brews,micro,16004 N Applewood Ln,,,Mead,Washington,,99021-7818,http://www.bigbarnbrewing.com,5097102961,2018-07-24,2018-08-11,United States,,,
big-block-brewing-sammamish,Big Block Brewing,micro,3310 E Lake Sammamish Pkwy SE,,,Sammamish,Washington,,98075,http://www.bigblockbrewery.com,4254570515,2018-07-24,2018-08-24,United States,-122.07474,47.57926212,
big-time-brewery-seattle,Big Time Brewery,brewpub,4133 University Way NE,,,Seattle,Washington,,98105-6213,http://www.bigtimebrewery.com,2065454509,2018-07-24,2018-08-24,United States,-122.3135759,47.65785225,
birdsview-brewing-co-concrete,BirdsView Brewing Co,micro,38302 State Route 20,,,Concrete,Washington,,98237-9460,http://www.birdsviewbrewingcompany.com,3608263406,2018-07-24,2018-08-24,United States,-121.7378167,48.5357818,
bjs-restauraunt-brewhouse-tacoma,BJs Restauraunt & Brewhouse,brewpub,4502 S. Steele St. Suite 1500,,,Tacoma,Washington,,98409,https://www.bjsrestaurants.com/locations/wa/tacoma,2534721220,2020-10-11,2020-10-11,United States,-122.467515,47.214875,
black-fleet-brewing-tacoma,Black Fleet Brewing,micro,2302 Fawcett Ave,,,Tacoma,Washington,,98402,http://www.blackfleetbrewing.com,2533271641,2018-07-24,2020-10-11,United States,-122.44036,47.24082,
black-label-brewing-company-spokane,Black Label Brewing Company,micro,19 W Main Ave,,,Spokane,Washington,,99201-5124,http://www.blacklabelbrewing.com,5098227436,2018-07-24,2018-08-24,United States,-117.4114587,47.65900318,
black-raven-brewing-co-redmond,Black Raven Brewing Co,micro,14687 NE 95th St,,,Redmond,Washington,,98052-2556,http://www.blackravenbrewing.com,4258813020,2018-07-24,2018-08-24,United States,-122.1455096,47.6854906,
blackbeard-s-brewing-company-westport,Blackbeard's Brewing Company,brewpub,700 W Ocean Ave,,,Westport,Washington,,98595-9603,http://www.blackbeardsbrewing.com,3602687662,2018-07-24,2018-08-24,United States,-124.1175413,46.8867861,
blewett-brewing-company-leavenworth,Blewett Brewing Company,brewpub,911 Commercial St,,,Leavenworth,Washington,,98826-1494,http://www.blewettbrew.com,5098888809,2018-07-24,2018-08-24,United States,-120.6599479,47.59518806,
bluebird-microcreamery-and-brewery-seattle,Bluebird Microcreamery and Brewery,micro,7400 Greenwood Ave N,,,Seattle,Washington,,98103-5044,http://www.bluebirdbrewing.com,2066598154,2018-07-24,2018-08-24,United States,-122.355108,47.6826657,
bombing-range-brewing-company-richland,Bombing Range Brewing Company,brewpub,2000 Logston Blvd Ste 126,,,Richland,Washington,,99354-5330,http://www.bombingrangebrewing.com,5093923377,2018-07-24,2018-08-24,United States,-119.2999357,46.3204119,
boundary-bay-brewery-bistro-bellingham,Boundary Bay Brewery & Bistro,brewpub,1107 Railroad Ave,,,Bellingham,Washington,,98225-5007,http://www.bbaybrewery.com,3606475593,2018-07-24,2018-08-24,United States,-122.4809958,48.7475046,
brewbakers-brewery-lake-stevens,BrewBakers Brewery,micro,11927 84th St NE,,,Lake Stevens,Washington,,98258-8906,http://www.brewbakersbrewery.com,,2018-07-24,2018-08-11,United States,,,
brewvado-taproom-lopez-island,Brewvado Taproom,micro,135 Lopez Rd B,,,Lopez Island,Washington,,98261-8290,,3602288214,2020-10-11,2020-10-11,United States,-122.913356,48.523402,
bron-yr-aur-brewing-naches,Bron Yr Aur Brewing,micro,12160 US Highway 12,,,Naches,Washington,,98937-9222,,5096531109,2018-07-24,2018-08-11,United States,,,
brother-ass-brewing-vancouver,Brother Ass Brewing,micro,11700 NE 54th Ct,,,Vancouver,Washington,,98686-4589,http://www.brotherassbrewing.com,3606073275,2018-07-24,2018-08-11,United States,,,
brothers-cascadia-brewing-vancouver,Brothers Cascadia Brewing,micro,9811 NE 15th Ave,,,Vancouver,Washington,,98665-9102,http://www.brotherscascadiabrewing.com,3607188927,2018-07-24,2018-08-24,United States,-122.6553318,45.6499058,
brouwerij-les-deplorables-woodinville,Brouwerij Les Deplorables,micro,19812 163rd Ave NE,,,Woodinville,Washington,,98072-7027,,2067902496,2018-07-24,2018-08-24,United States,-122.1225485,47.7711936,
buffalo-brewing-co-toppenish,Buffalo Brewing Co,planning,,,,Toppenish,Washington,,98948-9674,,,2018-07-24,2018-08-11,United States,,,
