400-north-brewing-sugarhill,400 North Brewing,planning,,,,Sugarhill,Georgia,,30518-7916,http://400northbrewing.com,4047911119,2018-07-24,2018-08-11,United States,,,
5-seasons-brewing-co-prado-sandy-springs,5 Seasons Brewing Co - Prado,brewpub,5600 Roswell Rd,,,Sandy Springs,Georgia,,30342-1150,http://www.5seasonsbrewing.com,4042555911,2018-07-24,2018-08-24,United States,-84.3796711,33.9078086,
5-seasons-brewing-co-westside-atlanta,5 Seasons Brewing Co - Westside,brewpub,1000 Marietta St NW Ste 204,,,Atlanta,Georgia,,30318-0683,http://www.5seasonsbrewing.com,4048753232,2018-07-24,2018-08-11,United States,,,
6-bridges-brewing-johns-creek,6 Bridges Brewing,planning,,,,Johns Creek,Georgia,,30097,http://www.sixbridgesbrewing.com,7708460292,2018-07-24,2018-08-11,United States,,,
abide-brewing-company-newnan,Abide Brewing Company,micro,110 Werz Industrial Blvd Ste 130,,,Newnan,Georgia,,30263-5802,http://www.abidebrewing.com,6789726747,2018-07-24,2018-08-24,United States,-84.76356641,33.40257035,
akademia-brewing-company-athens,Akademia Brewing Company,brewpub,150 Crane Dr,,,Athens,Georgia,,30606-0600,http://www.AkademiaBC.com,7064613208,2018-07-24,2018-08-24,United States,-83.47153754,33.94270289,
anheuser-busch-inc-a-cartersville-cartersville,Anheuser-Busch Inc â Cartersville,large,100 Busch Dr NE,,,Cartersville,Georgia,,30121-7217,,7703862000,2018-07-24,2018-08-11,United States,,,
arches-brewing-hapeville,Arches Brewing,micro,3361 Dogwood Dr,,,Hapeville,Georgia,,30354-1439,,6786532739,2018-07-24,2018-08-11,United States,,,
bluetarp-brewing-co-decatur,BlueTarp Brewing Co,micro,731 E College Ave,,,Decatur,Georgia,,30030-5365,http://www.bluetarpbrew.com,4046696740,2018-07-24,2018-08-24,United States,-84.2835622,33.7740425,
braselton-brewing-company-braselton,Braselton Brewing Company,planning,,,,Braselton,Georgia,,30517,,7068701458,2018-07-24,2018-08-11,United States,,,
buck-bald-brewing-corporation-blue-ridge,Buck Bald Brewing Corporation,planning,,,,Blue Ridge,Georgia,,30513,http://www.buckbaldbrewing.com,7703169971,2018-07-24,2018-08-11,United States,,,
burnt-hickory-brewery-kennesaw,Burnt Hickory Brewery,micro,2260 Moon Station Ct NW Ste 210,,,Kennesaw,Georgia,,30144-5653,http://www.burnthickorybrewery.com,7705148812,2018-07-24,2018-08-11,United States,,,
cannon-brewpub-columbus,Cannon Brewpub,brewpub,1041 Broadway,,,Columbus,Georgia,,31901-5256,,7066532337,2018-07-24,2018-08-11,United States,,,
chattabrewchee-southern-brewhouse-west-point,Chattabrewchee Southern Brewhouse,micro,709 4th Ave,,,West Point,Georgia,,31833-1506,http://www.chattabrewchee.com,7065011151,2018-07-24,2018-08-24,United States,-85.18536152,32.87625763,
cherokee-brewing-pizza-company-dalton,Cherokee Brewing + Pizza Company,brewpub,207-B West Cuyler St,,,Dalton,Georgia,,30720,http://www.cherokeebrewingandpizza.com,7065299478,2018-07-24,2018-08-24,United States,-84.96940721,34.76976664,
coastal-empire-beer-co-savannah,Coastal Empire Beer Co,micro,79 Ross Rd,,,Savannah,Georgia,,31405-1660,http://www.coastalempirebeer.com,9124287911,2018-07-24,2018-08-11,United States,,,
creature-comforts-brewing-co-athens,Creature Comforts Brewing Co.,regional,271 W Hancock Ave,,,Athens,Georgia,,30601-2727,http://www.creaturecomfortsbeer.com,7064101043,2018-07-24,2018-08-24,United States,-83.380087,33.95919871,
creature-comforts-production-facility-at-southern-mill-athens,Creature Comforts Production Facility At Southern Mill,regional,355 Oneta St Bldg A100,,,Athens,Georgia,,30601,,,2018-07-24,2018-08-11,United States,,,
